date,site.ID,lat,lon,so.taken,cu.taken,pi.taken
2016-05-22,J09,50.543296,-126.816816,30,9,10
2016-05-27,J09,50.543432,-126.8134,30,1,2
2016-06-02,J09,50.543432,-126.8134,30,10,5
2016-06-09,J09,50.544941,-126.816489,29,10,10
2016-06-18,J09,50.579393,-126.714162,30,10,10
2016-06-23,J09,50.54401,-126.81461,0,0,0
2016-07-04,J09,50.543818,-126.794456,15,10,10
2015-05-23,J10,50.55787,-126.73532,30,10,0
2015-05-27,J10,50.55951,-126.75326,30,10,0
2015-05-31,J10,NA,NA,NA,NA,NA
2015-06-01,J10,50.55853,-126.73145,30,10,2
2015-06-05,J10,50.55855,-126.73248,30,10,0
2015-06-09,J10,NA,NA,NA,NA,NA
2015-06-15,J10,50.55792,-126.73617,30,10,10
2015-06-19,J10,50.55814,-126.73386,30,10,10
2015-06-21,J10,50.55821,-126.73327,30,10,8
2015-06-27,J10,50.55961,-126.7542,10,10,10
2015-07-01,J10,50.55809,-126.73246,4,10,10
2015-07-07,J10,NA,NA,NA,NA,NA
2015-07-10,J10,NA,NA,NA,NA,NA
2016-05-22,J10,50.558361,-126.732241,30,7,6
2016-05-27,J10,50.477038,-126.028566,NA,NA,NA
2016-06-02,J10,50.477038,-126.028566,30,5,1
2016-06-09,J10,50.55543,-126.724521,30,10,10
2016-06-18,J10,50.543085,-126.815971,NA,NA,NA
2016-06-23,J10,50.55803,-126.73463,30,10,10
2016-07-04,J10,50.558034,-126.731939,NA,NA,NA
